Frequency(Hz),Magnitude(dB),Phase(deg)
2914.361,6.450682604426902,41.079086
2950.878,6.314826604426898,20.571251
2987.853,6.180091604426892,-0.09111
3025.291,6.054183604426896,-20.852701
3063.198,5.946387604426889,-41.784225
3101.58,5.862563604426896,-62.901199
3140.443,5.802382604426896,-84.167892
3179.793,5.759993604426896,-105.736435
3219.636,5.7289266044268885,-127.499283
3259.979,5.7056196044269,-149.677399
3300.826,5.690314604426902,-172.204346
3342.186,5.683943604426901,164.897156
3384.064,5.687834604426897,141.58403
3426.467,5.701293604426894,117.829834
3469.4,5.7179406044269,93.397202
3512.872,5.71507960442689,68.271286
3556.889,5.657660604426894,42.772495
3601.457,5.526740604426891,17.41184
3646.583,5.3305426044268955,-7.65397
3692.275,5.0942836044268915,-32.833652
3738.54,4.840964604426901,-58.161308
3785.384,4.579314604426898,-83.792114
3832.815,4.304015604426894,-109.927589
3880.841,4.002089604426899,-136.310913
3929.468,3.684882604426889,-162.633911
3978.705,3.3971856044268947,171.372253
4028.558,3.1892156044268916,145.840897
4079.036,3.06904560442689,120.254234
4130.147,2.9947046044269,94.134499
4181.898,2.930716604426891,67.185959
4234.297,2.8703686044269006,39.680733
4287.354,2.8263846044268917,11.669745
4341.074,2.8227076044268955,-16.562214
4395.468,2.880591604426897,-44.896896
4450.544,3.003272604426897,-73.559212
4506.31,3.170203604426902,-102.80204
4562.774,3.358588604426899,-132.752808
4619.946,3.5497276044268915,-163.582642
4677.834,3.7287666044268946,164.919373
4736.448,3.891356604426889,132.670822
4795.796,4.0400456044268935,99.74691
4855.888,4.161124604426902,66.102165
4916.732,4.2216106044269,32.201694
4978.339,4.220397604426893,-1.375516
5040.718,4.200392604426895,-35.103756
5103.879,4.215201604426895,-69.415787
5167.831,4.29238860442689,-104.319916
5232.584,4.426428604426889,-139.963669
5298.149,4.597045604426896,-176.245193
5364.535,4.785041604426894,146.838562
5431.753,4.982154604426896,109.312965
5499.813,5.194548604426899,71.386726
5568.727,5.415999604426901,33.087833
5638.503,5.6109916044269,-6.044889
5709.154,5.733153604426889,-46.515018
5780.69,5.766684604426899,-87.951859
5853.123,5.723113604426899,-129.775146
5926.463,5.617942604426901,-171.878174
6000.722,5.467589604426891,145.809204
6075.911,5.291114604426895,103.366508
6152.043,5.1033086044269,60.606243
6229.128,4.912062604426893,17.554852
6307.18,4.71935160442689,-25.972578
6386.209,4.522437604426898,-69.988503
6466.229,4.303710604426897,-114.203545
6547.251,4.056327604426897,-158.284821
6629.289,3.802291604426898,157.848541
6712.354,3.5793446044268933,113.702133
6796.461,3.422682604426896,68.936745
6881.621,3.3433066044268998,23.427359
6967.848,3.3170156044268992,-22.831276
7055.156,3.3183056044268966,-69.507805
7143.558,3.353484604426896,-116.368362
7233.067,3.5013576044269,-163.550659
7323.698,3.8160546044268955,148.038712
7415.464,4.207884604426894,98.032104
7508.381,4.506949604426893,46.669525
7602.461,4.6614216044268915,-5.08036
7697.721,4.725241604426898,-57.449657
7794.174,4.78552160442689,-110.543732
7891.835,4.891677604426889,-164.407593
7990.721,5.028739604426889,140.759018
8090.845,5.1134176044269,84.765442
8192.224,5.077292604426901,27.940891
8294.873,4.939505604426898,-29.443628
8398.809,4.805175604426893,-86.673401
8504.047,4.760779604426901,-143.630417
8610.603,4.785109604426893,158.86969
8718.494,4.7975606044268915,99.842415
8827.737,4.78485760442689,39.633152
8938.35,4.779318604426891,-21.447317
9050.349,4.822539604426893,-83.291023
9163.75,4.9336996044268915,-145.801346
9278.572,5.097609604426893,150.985413
9394.834,5.265853604426894,86.288994
9512.552,5.376647604426893,20.078775
9631.744,5.39581960442689,-46.816864
9752.431,5.326659604426894,-114.088875
9874.63,5.1927026044268985,177.861893
9998.359,5.017707604426889,108.9524
10123.64,4.813040604426902,39.159447
10250.49,4.583541604426898,-31.269091
10378.93,4.3404156044268944,-102.480095
10508.979,4.102965604426899,-174.498932
10640.656,3.8949576044268923,112.784149
10773.984,3.737380604426889,39.5313
10908.983,3.626593604426901,-34.163929
11045.674,3.517386604426889,-108.916145
11184.077,3.355994604426897,174.893478
11324.215,3.1319266044268943,97.849823
11466.107,2.8618996044268954,20.098444
11609.779,2.5627896044268965,-58.412666
11755.25,2.240737604426897,-138.083496
11902.545,1.889655604426892,141.453171
12051.685,1.5058126044268931,60.673775
12202.693,1.1014396044269006,-20.020813
12355.594,0.7000876044268978,-100.763924
12510.41,0.3363566044268964,178.09343
12667.167,0.052504604426900414,96.252251
12825.888,-0.09510839557310646,13.674057
12986.597,-0.04691339557309959,-70.066467
13149.319,0.25222760442689207,-155.304611
13314.082,0.8427726044268979,118.174721
13480.908,1.719329604426889,30.315533
13649.825,2.8019016044269023,-59.325405
13820.858,3.963027604426898,-151.27002
13994.035,5.094908604426891,113.655495
14169.381,6.1318736044269,15.563923
14346.925,7.036589604426894,-85.49752
