Frequency(Hz), Magnitude(dB),  Phase(deg)
 2387.902, 119.745316, -11.830802
 2417.822, 119.878273, -29.268768
 2448.118, 119.999687, -46.906612
 2478.793, 120.108154, -64.903885
 2509.852, 120.201889, -83.175682
 2541.301, 120.279854, -101.562553
 2573.144, 120.342010, -120.280769
 2605.385, 120.387909, -139.323441
 2638.031, 120.417084, -158.613434
 2671.086, 120.428329, -178.060349
 2704.555, 120.418861, 162.266968
 2738.443, 120.384666, 142.331985
 2772.756, 120.323059, 122.285225
 2807.499, 120.236008, 102.098579
 2842.677, 120.128471, 81.917389
 2878.296, 120.006599, 61.574902
 2914.361, 119.875549, 41.079086
 2950.878, 119.739693, 20.571251
 2987.853, 119.604958, -0.091110
 3025.291, 119.479050, -20.852701
 3063.198, 119.371254, -41.784225
 3101.580, 119.287430, -62.901199
 3140.443, 119.227249, -84.167892
 3179.793, 119.184860, -105.736435
 3219.636, 119.153793, -127.499283
 3259.979, 119.130486, -149.677399
 3300.826, 119.115181, -172.204346
 3342.186, 119.108810, 164.897156
 3384.064, 119.112701, 141.584030
 3426.467, 119.126160, 117.829834
 3469.400, 119.142807, 93.397202
 3512.872, 119.139946, 68.271286
 3556.889, 119.082527, 42.772495
 3601.457, 118.951607, 17.411840
 3646.583, 118.755409, -7.653970
 3692.275, 118.519150, -32.833652
 3738.540, 118.265831, -58.161308
 3785.384, 118.004181, -83.792114
 3832.815, 117.728882, -109.927589
 3880.841, 117.426956, -136.310913
 3929.468, 117.109749, -162.633911
 3978.705, 116.822052, 171.372253
 4028.558, 116.614082, 145.840897
 4079.036, 116.493912, 120.254234
 4130.147, 116.419571, 94.134499
 4181.898, 116.355583, 67.185959
 4234.297, 116.295235, 39.680733
 4287.354, 116.251251, 11.669745
 4341.074, 116.247574, -16.562214
 4395.468, 116.305458, -44.896896
 4450.544, 116.428139, -73.559212
 4506.310, 116.595070, -102.802040
 4562.774, 116.783455, -132.752808
 4619.946, 116.974594, -163.582642
 4677.834, 117.153633, 164.919373
 4736.448, 117.316223, 132.670822
 4795.796, 117.464912, 99.746910
 4855.888, 117.585991, 66.102165
 4916.732, 117.646477, 32.201694
 4978.339, 117.645264, -1.375516
 5040.718, 117.625259, -35.103756
 5103.879, 117.640068, -69.415787
 5167.831, 117.717255, -104.319916
 5232.584, 117.851295, -139.963669
 5298.149, 118.021912, -176.245193
 5364.535, 118.209908, 146.838562
 5431.753, 118.407021, 109.312965
 5499.813, 118.619415, 71.386726
 5568.727, 118.840866, 33.087833
 5638.503, 119.035858, -6.044889
 5709.154, 119.158020, -46.515018
 5780.690, 119.191551, -87.951859
 5853.123, 119.147980, -129.775146
 5926.463, 119.042809, -171.878174
 6000.722, 118.892456, 145.809204
 6075.911, 118.715981, 103.366508
 6152.043, 118.528175, 60.606243
 6229.128, 118.336929, 17.554852
 6307.180, 118.144218, -25.972578
